nbis-gene-24616	GO:0005634,GO:0003677
nbis-gene-24171	GO:0005634,GO:0046983,GO:0008270
nbis-gene-24816	GO:0005654,GO:0005634,GO:1990904,GO:0045202,GO:0019899,GO:0003723,GO:0009615,GO:0006396
nbis-gene-25029	GO:0042995,GO:0005737,GO:0005769,GO:0019898,GO:0098978,GO:0098794,GO:0048786,GO:0098685,GO:0005524,GO:0019899,GO:0005085,GO:0106310,GO:0004674,GO:0007411,GO:0050804,GO:0045599,GO:0048812,GO:0016310,GO:0099170
nbis-gene-25235	GO:0005829,GO:0070062,GO:0005576,GO:1904813,GO:0034774,GO:0000287,GO:0004614,GO:0008973,GO:0006006,GO:0005980,GO:0006166
nbis-gene-24402	GO:0005737,GO:0005634,GO:0005681,GO:0046872,GO:0036002,GO:0017070,GO:0045292,GO:0033120
nbis-gene-24876	GO:0030424,GO:0030425,GO:0005886,GO:0005524,GO:0005004,GO:0005005,GO:0007411,GO:0048013,GO:0021766,GO:0016310,GO:0032956,GO:0043087
nbis-gene-25000	GO:0005829,GO:0005964,GO:0005886,GO:0005516,GO:0004689,GO:0006091,GO:0005977
nbis-gene-24809	GO:0005829,GO:0005811,GO:0005730,GO:0005524,GO:0016887,GO:0046872,GO:0061630,GO:0004842,GO:0008015,GO:0042742,GO:0002376,GO:0140042,GO:0120323,GO:2000051,GO:0070534,GO:0045765,GO:0019216,GO:0002040,GO:0006511,GO:0098792
nbis-gene-24726	GO:0045251,GO:0005759,GO:0005739,GO:0009055,GO:0009063,GO:0033539,GO:0022904
nbis-gene-24748	GO:0062023,GO:0005615,GO:0016020,GO:0008061,GO:0046872
nbis-gene-24522	GO:0062023,GO:0031012,GO:0005576,GO:0005615,GO:0001527,GO:0005509,GO:0005201,GO:0005179,GO:0009653,GO:0060346,GO:0043010,GO:0048048,GO:0030326,GO:0035108,GO:0001890,GO:0030501,GO:0045669,GO:1901163,GO:0035583
nbis-gene-25353	GO:0005737,GO:0005815,GO:0030496,GO:0005634,GO:0000226
nbis-gene-24812	GO:0005789,GO:0016020,GO:0044233,GO:0005739,GO:0008289,GO:0046872,GO:0007010,GO:0006869,GO:0051560,GO:1990456,GO:0022604
nbis-gene-24682	GO:0046872,GO:0003964
nbis-gene-24442	GO:0045179,GO:0045180,GO:0005737,GO:0005829,GO:0043025,GO:0003730,GO:0045182,GO:0030371,GO:0008270,GO:0008356,GO:0055060,GO:0007420,GO:0007402,GO:0008285,GO:0010629,GO:0007406,GO:0017148,GO:0014019,GO:0014016,GO:0007400,GO:0007405,GO:0030182,GO:0048477,GO:1902692,GO:0050767,GO:0008582,GO:1900242,GO:0006417,GO:0009303,GO:0035282,GO:0007419
nbis-gene-24834	GO:0005576,GO:0004252,GO:0006508
nbis-gene-24172	GO:0003677,GO:0046872,GO:0043565,GO:0016740,GO:0004803,GO:0015074,GO:0006310,GO:0006313
nbis-gene-24843	GO:0005737,GO:0005856,GO:0016010,GO:0005886,GO:0016012,GO:0042383,GO:0055013,GO:0010467,GO:0042593,GO:0044381,GO:0007517,GO:0009749,GO:0097084
nbis-gene-25367	GO:0000785,GO:0005634,GO:0046975,GO:0140955,GO:0042800,GO:0140999,GO:0140949,GO:0140944,GO:0140941,GO:0046872,GO:0042803,GO:0010844,GO:0043565,GO:0000976,GO:1990918,GO:0007292,GO:0007129,GO:0048232,GO:0007127,GO:0006311,GO:0032259,GO:0043066,GO:1905516,GO:0060903,GO:0010845,GO:0045944,GO:0010468,GO:0007283
nbis-gene-25465	GO:0005829,GO:0005759,GO:0005739,GO:0005654,GO:0004816,GO:0005524,GO:0003676,GO:0006421
nbis-gene-25117	GO:0000785,GO:0005634,GO:0051301,GO:0007064,GO:0008156
nbis-gene-25242	GO:0080130,GO:0030170,GO:0009058
nbis-gene-24627	GO:0003964
nbis-gene-24836	GO:0031012,GO:0045335,GO:0005507,GO:0004784,GO:0031152,GO:0019430,GO:0009617,GO:1904643,GO:0042542,GO:0006979,GO:0006801
nbis-gene-25142	GO:0005712,GO:0005694,GO:0000793,GO:0000794,GO:0005715,GO:0001673,GO:0032389,GO:0005654,GO:0005634,GO:0000795,GO:0005524,GO:0016887,GO:0140664,GO:0003682,GO:0019899,GO:0032137,GO:0032407,GO:0003697,GO:0006974,GO:0006281,GO:0006303,GO:0016321,GO:0007129,GO:0045143,GO:0008630,GO:0045190,GO:0007060,GO:0007140,GO:0051321,GO:0045132,GO:0043060,GO:0051257,GO:0045141,GO:0006298,GO:0045950,GO:0000289,GO:0048477,GO:0048298,GO:0048304,GO:0007131,GO:0000712,GO:0009617,GO:0016446,GO:0016447,GO:0002204,GO:0007283
nbis-gene-24434	GO:0170014,GO:0030673,GO:0016323,GO:0009898,GO:0005856,GO:0005829,GO:0031430,GO:0043005,GO:0005886,GO:0045211,GO:0042383,GO:0016529,GO:0014731,GO:0030018,GO:0051117,GO:0008093,GO:0019899,GO:0019903,GO:0030507,GO:0005200,GO:0005198,GO:0044325,GO:0007010,GO:0006888,GO:0006887,GO:0045199,GO:0010638,GO:0072659,GO:0007165
nbis-gene-25411	GO:0036156,GO:0036126,GO:0005524,GO:0045505,GO:0051959,GO:0008569,GO:0030317,GO:0120316
nbis-gene-24319	GO:0031526,GO:0005737,GO:0005829,GO:0016020,GO:0005654,GO:0005634,GO:0005778,GO:0005777,GO:0032991,GO:0051117,GO:0036105,GO:0033328,GO:0140597,GO:0061077,GO:0072663,GO:1900131,GO:0016559,GO:0016557,GO:0007031,GO:0045046,GO:0050821,GO:0006625
nbis-gene-25181	GO:0031410,GO:0005829,GO:0000139,GO:0005802,GO:0003779,GO:0030041,GO:0006895,GO:0015031
nbis-gene-24558	GO:0016706,GO:0031418,GO:0046872,GO:0045486,GO:0009813
nbis-gene-24312	GO:0005581,GO:0062023,GO:0005576,GO:0030020,GO:0007155
nbis-gene-24361	GO:0005615,GO:0004046,GO:0016811,GO:0016829,GO:0046872,GO:0008233,GO:1990845,GO:0043604,GO:0043605,GO:0006520,GO:0044255,GO:0097009,GO:0006631,GO:0006508,GO:0022904
nbis-gene-24688	GO:0005783,GO:0003755,GO:0061077
nbis-gene-24339	GO:0005604,GO:0005587,GO:0062023,GO:0005615,GO:0005201,GO:0030020,GO:0071711,GO:0055013,GO:0007391,GO:0030198,GO:0060729,GO:0035848,GO:0048621
nbis-gene-24782	GO:0005783,GO:0016020
nbis-gene-24557	GO:0016706,GO:0031418,GO:0046872,GO:0045486,GO:0009813
nbis-gene-25194	GO:0005912,GO:0005923,GO:0005911,GO:0005929,GO:0005737,GO:0005856,GO:0005829,GO:0016020,GO:0031514,GO:0032391,GO:0005198,GO:0030036,GO:0030030,GO:0098609,GO:1903348,GO:0090251,GO:0060041,GO:0007165,GO:0048515,GO:0007632
nbis-gene-24973	GO:0005737,GO:0005829,GO:0005654,GO:0005634,GO:0048471,GO:0034098,GO:0005524,GO:0016887,GO:0042802,GO:0031593,GO:0044877,GO:0097352,GO:0008340,GO:0009792,GO:0071712,GO:0051228,GO:0045977,GO:0032436,GO:1905634,GO:0030970,GO:0030433
nbis-gene-24158	GO:0005789,GO:0016020,GO:0016757,GO:0042802,GO:0046872,GO:0003975,GO:0019408,GO:0006488
nbis-gene-24621	GO:0031011,GO:0003677
nbis-gene-24608	GO:0005737,GO:0042802,GO:0008242,GO:0004252,GO:0050435,GO:0006508
nbis-gene-25333	GO:0008250,GO:0005886,GO:0015693,GO:0018279
nbis-gene-25300	GO:0009986,GO:0005737,GO:0005789,GO:0016020,GO:0005886,GO:0005518,GO:0004175,GO:0050840,GO:0004930,GO:0043236,GO:0007189,GO:0019933,GO:0007166,GO:0007186,GO:0060347,GO:0042552,GO:0022011,GO:0007399,GO:0014037
nbis-gene-24380	GO:0005737,GO:0005634,GO:0005524,GO:0140297,GO:0000287,GO:0004707,GO:0106310,GO:0004674,GO:0031625,GO:0009952,GO:0001707,GO:0007399,GO:0018105,GO:0018107,GO:0031398,GO:0042501,GO:0007179,GO:0016055
nbis-gene-24528	GO:0005762,GO:1990904,GO:0003735,GO:0032543,GO:0006412
nbis-gene-24789	GO:0005737,GO:0043005,GO:0005634,GO:0048471,GO:0045202,GO:0031267,GO:0006915,GO:0098609,GO:0030833
nbis-gene-24299	GO:0030424,GO:0016604,GO:0005886,GO:0098552,GO:0042802,GO:0007413,GO:0007155
nbis-gene-24277	GO:0003964
nbis-gene-24661	GO:0005737,GO:0008119,GO:0032259
nbis-gene-25440	GO:0005737,GO:0047676,GO:0005524,GO:0004467
nbis-gene-25489	GO:0020037,GO:0046872,GO:0004833,GO:0051289,GO:0019442,GO:0019441
nbis-gene-25412	GO:0120115,GO:0000932,GO:0005681,GO:0097526,GO:0005688,GO:0017070,GO:0000956,GO:0033962,GO:0000387
nbis-gene-24609	GO:0005509,GO:0008218
nbis-gene-25436	GO:0005737,GO:0005829,GO:0005634,GO:0004843,GO:0061578,GO:0060090,GO:0003723,GO:0045087,GO:2000660,GO:0034122,GO:1901537,GO:0071108,GO:0070536,GO:1903093
nbis-gene-24266	GO:0000785,GO:0005654,GO:0005634,GO:0000981,GO:0001227,GO:0000977,GO:1990837,GO:0009887,GO:0000122,GO:0006357,GO:0006366
nbis-gene-25219	GO:0016324,GO:0005783,GO:0005765,GO:0005886,GO:0005774,GO:0022858,GO:0015171,GO:0005280,GO:0015187,GO:0015180,GO:0015193,GO:0005297,GO:0005368,GO:0032328,GO:0089718,GO:0006865,GO:0015816,GO:0015808,GO:0006811,GO:0035524,GO:0015824,GO:1902600,GO:0015734
nbis-gene-25219	GO:0016324,GO:0005783,GO:0005765,GO:0005886,GO:0005774,GO:0022858,GO:0015171,GO:0005280,GO:0015187,GO:0015180,GO:0015193,GO:0005297,GO:0005368,GO:0032328,GO:0089718,GO:0006865,GO:0015816,GO:0015808,GO:0006811,GO:0035524,GO:0015824,GO:1902600,GO:0015734
nbis-gene-24176	GO:0005737,GO:0005829,GO:0005634,GO:0005524,GO:0019899,GO:0008545,GO:0000287,GO:0004707,GO:0004708,GO:0140677,GO:0019901,GO:0019903,GO:0106310,GO:0004713,GO:0006915,GO:0071347,GO:0071222,GO:0090398,GO:0038095,GO:0007254,GO:0016310,GO:0045893,GO:0070374,GO:0046330,GO:0043507,GO:0051973,GO:1904355,GO:0032212,GO:2000671,GO:0009408,GO:0006970,GO:0034612,GO:0009411,GO:0009611,GO:0007165,GO:0051403
nbis-gene-25171	GO:0020002,GO:0016020,GO:0005524,GO:0004714,GO:0016310
nbis-gene-25397	GO:0016324,GO:0030136,GO:0005737,GO:0000139,GO:0046581,GO:0016020,GO:0045121,GO:0005886,GO:0140359,GO:0005524,GO:0016887,GO:0042626,GO:0090554,GO:0032782,GO:1903413,GO:0055088,GO:0045332,GO:0032376,GO:0061092,GO:2001140,GO:1901557,GO:0051384,GO:0009410
nbis-gene-24260	GO:0005634,GO:0007049,GO:0006260,GO:0008285,GO:1990173,GO:0050821,GO:0051726
nbis-gene-25456	GO:0016020,GO:0015144
nbis-gene-25101	GO:0005737,GO:0005634
nbis-gene-25250	GO:0003676,GO:0015074
nbis-gene-24222	GO:0005769,GO:0055037,GO:0005524,GO:0035091,GO:0106310,GO:0004674,GO:2001240,GO:0016310
nbis-gene-25109	GO:0005847,GO:0005634,GO:0003723,GO:0006397
nbis-gene-25272	GO:0030136,GO:0031901,GO:0005768,GO:0005802,GO:0032588,GO:1902936,GO:0080025,GO:0007040
nbis-gene-25480	GO:0032580,GO:0050378,GO:0005975
nbis-gene-25480	GO:0032580,GO:0050378,GO:0005975
nbis-gene-25480	GO:0032580,GO:0050378,GO:0005975
nbis-gene-25480	GO:0032580,GO:0050378,GO:0005975
nbis-gene-25480	GO:0032580,GO:0050378,GO:0005975
nbis-gene-25443	GO:0012505,GO:0005783,GO:0005576,GO:0016020,GO:0005741,GO:0030868,GO:0020037,GO:0046872,GO:0042803,GO:0005496,GO:0006783,GO:1903078
nbis-gene-25008	GO:0005964,GO:0005886,GO:0005516,GO:0005977
nbis-gene-25080	GO:0033106,GO:0031901,GO:0010008,GO:0005794,GO:0000139,GO:0043231,GO:0031902,GO:0005765,GO:0032588,GO:0015085,GO:0005384,GO:0070588,GO:0006816,GO:0032468,GO:0032472,GO:0006874,GO:0071421,GO:0006828,GO:0006487,GO:0035751
nbis-gene-25058	GO:0005737,GO:0005829,GO:0005634,GO:0047651,GO:0004602,GO:0004364,GO:0018900,GO:0006304,GO:0006749,GO:0009751,GO:0010269,GO:0033197
nbis-gene-24327	GO:0000235,GO:0005813,GO:0005737,GO:0005874,GO:0005634,GO:0048471,GO:0005819,GO:0005525,GO:0016787,GO:0046872,GO:0005200,GO:0032418,GO:0000226,GO:0000278
nbis-gene-24144	GO:0005794,GO:0016020,GO:0005886,GO:0008021,GO:0051020,GO:0042802,GO:0070064
nbis-gene-25476	GO:0031463,GO:0005654,GO:0016567,GO:0006511
nbis-gene-24259	GO:0005789,GO:0031965,GO:0005886,GO:0043022,GO:0160063,GO:0036228
nbis-gene-25165	GO:0005737,GO:0003723,GO:0007049
nbis-gene-25165	GO:0005737,GO:0003723,GO:0007049
nbis-gene-24303	GO:0046872
nbis-gene-25320	GO:0005938,GO:0030425,GO:0005783,GO:0010008,GO:0005576,GO:0005794,GO:0000139,GO:0048471,GO:0045202,GO:0050699,GO:0035739,GO:0006879,GO:0030001,GO:2000562,GO:0010629,GO:0050728,GO:0032713,GO:0048294,GO:0051224,GO:0002829,GO:0045732,GO:0031398,GO:0030163,GO:0048302,GO:0045619,GO:0002761,GO:0006511,GO:0007034
nbis-gene-24795	GO:0005737,GO:0005829,GO:0005811,GO:0016020,GO:0005730,GO:0005524,GO:0016887,GO:0046872,GO:0061630,GO:0004842,GO:0001525,GO:0042742,GO:0002376,GO:0140042,GO:0120323,GO:2000051,GO:0051865,GO:0070534,GO:0016567,GO:0019216,GO:0002040,GO:0006511,GO:0098792
